id,description,items
01,"Plate 1x1",3024
02,"Plate 1x2",15573 3023
03,"Plate 1x3",3623
04,"Plate 1x4",3710
05,"Plate 1x6 and more",3666
06,"Plate 2x2 with 1 stud",87580
07,"Plate 2x2 Corner",2420
08,"Plate 2x2",3022
09,"Plate 2x3",3021
10,"Plate 2x4",8200
11,"Plate 2x6",3795
12,"Plate 2x10 and more",3832
13,"Plate 3x3",11212
14,"Plate 4x4 Corner",2639
15,"Plate 4x6",3032
16,"Plate 4x10",3030
17,"Brick 1x1",3005
18,"Brick 1x2",3004
19,"Brick 1x3",3622
20,"Brick 1x4",3010
21,"Brick 1х6",3009
22,"Brick 1х8 and more",3008